FaceID,Batch,Shotcrete_Layer,Spray_Time,Air_Temp,Shotcrete_Temp,Shotcrete_Blend,15M_MPa,30M_MPa,60M_MPa,90M_MPa,120M_MPa,150M_Mpa,180M_Mpa,240M_Mpa,270M_Mpa,300M_Mpa
RUP_1075_630_ACC_09,7,2,00:50:00,1.0,,,,0.81,0.99,,,,,,,
RUP_1050_539_RMP_07,1&2,1,21:30:00,1.0,,,,,,1.01,,,,,,
RUP_1000_818_DEC_54,3,3,06:45:00,3.0,,,,,,,,,,1.04,,
RUP_1050_539_RMP_08,1&2,1,11:45:00,3.0,,,,0.53,,1.04,,,,,,
RUP_1050_539_RMP_09,1&2,1,11:05:00,7.0,,,,,1.06,,,,,,,
RUP_1050_539_RMP_09,3,1,22:45:00,5.0,,,,,0.8,,,,0.94,1.03,,
RUP_1000_818_DEC_55,4 & 5,2,01:40:00,2.0,,,,,,,,0.85,,1.0,,
RUP_1000_818_DEC_56,1,1,03:30:00,4.0,,,,,,0.93,1.03,,,,,
RUP_1050_539_RMP_10,2 & 3,2,07:00:00,5.0,,,,,,0.81,,1.16,,,,
RUP_1000_818_DEC_57,3&4&5,2,21:20:00,1.0,,,,1.07,,,,,,,,
RUP_1050_539_RMP_11,2 & 3 & 4,2,05:30:00,-6.0,,,,,,0.8,,,1.1,,,
RUP_1075_630_ACC_09,11&12,2,03:00:00,-2.0,,,,,1.02,,,,,,,
RUP_1100_592_RMP_01,2&3&4,2,21:45:00,5.0,,,,,0.57,,,,1.04,,,
RUP_1050_539_RMP_12,3&4,2,03:30:00,4.0,,,,,0.72,,1.04,,,,,
RUP_1075_630_ACC_09,13&14,2,06:30:00,6.0,,,,,0.73,,0.88,1.03,,,,
RUP_1000_818_DEC_59,1 & 2 ,1,16:00:00,5.0,,,,,,0.46,,0.69,,1.01,,
RUP_1000_818_DEC_60,1&2&3,1,22:15:00,6.0,,,,,0.87,,0.87,,0.88,,,
RUP_1050_539_RMP_13,3,2,23:45:00,2.0,,,,,0.9,,,,1.1,,,
RUP_1000_818_DEC_61,1 & 2,1,17:30:00,1.0,,,,,,,,,1.11,,,
RUP_1050_539_RMP_14,3&4%5,2,04:50:00,-3.0,,,,,,,0.68,,,1.01,,
RUP_1100_592_RMP_02,4&5&6&7&8,2,18:00:00,-1.0,,,,,0.72,,1.04,,,,,
RUP_1050_539_RMP_15,2&3&4,2,01:10:00,-4.0,,,,0.55,,,1,,,,,
RUP_1050_539_RMP_15 - rehabilitation,5 & 6,2,12:20:00,2.0,,,,,0.67,,,1.0,,,,
